parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value
OD,L1,0,0.057,OD,L2,0,0.060333333,OD,L3,0,0.059333333,OD,L4,0,0.055333333,OD,L5,0,0.054333333,OD,R,9,0.285333333
OD,L1,1,0.593333333,OD,L2,1,0.533333333,OD,L3,1,0.633333333,OD,L4,1,0.58,OD,L5,1,0.56,OD,R,12,0.299
OD,L1,2,0.398666667,OD,L2,2,0.459666667,OD,L3,2,0.417333333,OD,L4,2,0.417,OD,L5,2,0.427333333,OD,R,13,0.309
OD,L1,3,0.335666667,OD,L2,3,0.326666667,OD,L3,3,0.318,OD,L4,3,0.306666667,OD,L5,3,0.324333333,OD,R,14,0.317333333
OD,L1,4,0.319333333,OD,L2,4,0.323666667,OD,L3,4,0.312,OD,L4,4,0.286666667,OD,L5,4,0.320333333,OD,R,15,0.312333333
OD,L1,5,0.298666667,OD,L2,5,0.287333333,OD,L3,5,0.307666667,OD,L4,5,0.313666667,OD,L5,5,0.314333333,OD,R,16,0.282333333
OD,L1,6,0.351666667,OD,L2,6,0.359333333,OD,L3,6,0.352666667,OD,L4,6,0.268666667,OD,L5,6,0.388333333,OD,R,19,0.323333333
OD,L1,7,0.359666667,OD,L2,7,0.351,OD,L3,7,0.360666667,OD,L4,7,0.240333333,OD,L5,7,0.399333333,OD,R,20,0.328
OD,L1,8,0.391,OD,L2,8,0.309,OD,L3,8,0.352333333,OD,L4,8,0.238333333,OD,L5,8,0.392333333,OD,R,21,0.323333333
OD,L1,9,0.408333333,OD,L2,9,0.338333333,OD,L3,9,0.362333333,OD,L4,9,0.291,OD,L5,9,0.370333333,OD,R,23,0.333666667
OD,L1,12,0.414666667,OD,L2,12,0.448666667,OD,L3,12,0.337666667,OD,L4,12,0.319333333,OD,L5,12,0.342333333,OD,R,26,0.308666667
OD,L1,13,0.430666667,OD,L2,13,0.488333333,OD,L3,13,0.330333333,OD,L4,13,0.34,OD,L5,13,0.346,OD,R,27,0.330666667
OD,L1,14,0.451,OD,L2,14,0.518333333,OD,L3,14,0.340666667,OD,L4,14,0.336333333,OD,L5,14,0.324,OD,R,28,0.237333333
OD,L1,15,0.436666667,OD,L2,15,0.505666667,OD,L3,15,0.346666667,OD,L4,15,0.311,OD,L5,15,0.332666667,OD,R,29,0.323666667
OD,L1,16,0.365333333,OD,L2,16,0.442333333,OD,L3,16,0.293,OD,L4,16,0.306333333,OD,L5,16,0.304666667,OD,R,30,0.384333333
OD,L1,19,0.441666667,OD,L2,19,0.531,OD,L3,19,0.368666667,OD,L4,19,0.368333333,OD,L5,19,0.341333333,OD,R,33,0.363666667
OD,L1,20,0.402666667,OD,L2,20,0.525,OD,L3,20,0.367333333,OD,L4,20,0.386333333,OD,L5,20,0.376,OD,R,34,0.346333333
OD,L1,21,0.376333333,OD,L2,21,0.514666667,OD,L3,21,0.378,OD,L4,21,0.350333333,OD,L5,21,0.408,OD,R,35,0.329666667
OD,L1,23,0.364333333,OD,L2,23,0.528,OD,L3,23,0.363333333,OD,L4,23,0.352,OD,L5,23,0.397666667,OD,R,36,0.307
OD,L1,26,0.330666667,OD,L2,26,0.511,OD,L3,26,0.355666667,OD,L4,26,0.359333333,OD,L5,26,0.374666667,OD,R,37,0.304
OD,L1,27,0.353666667,OD,L2,27,0.459333333,OD,L3,27,0.356666667,OD,L4,27,0.394333333,OD,L5,27,0.391333333,OD,R,40,0.304333333
OD,L1,28,0.221333333,OD,L2,28,0.463333333,OD,L3,28,0.153333333,OD,L4,28,0.310333333,OD,L5,28,0.299,OD,R,41,0.315666667
OD,L1,29,0.339,OD,L2,29,0.547333333,OD,L3,29,0.301333333,OD,L4,29,0.401666667,OD,L5,29,0.364666667,OD,R,43,0.303666667
OD,L1,30,0.386333333,OD,L2,30,0.549333333,OD,L3,30,0.325666667,OD,L4,30,0.43,OD,L5,30,0.409666667,OD,R,44,0.305666667
OD,L1,33,0.372,OD,L2,33,0.507,OD,L3,33,0.371333333,OD,L4,33,0.405,OD,L5,33,0.435,OD,R,47,0.318
OD,L1,34,0.336333333,OD,L2,34,0.495333333,OD,L3,34,0.396333333,OD,L4,34,0.382,OD,L5,34,0.434333333,OD,R,48,0.400666667
OD,L1,35,0.332666667,OD,L2,35,0.481666667,OD,L3,35,0.419333333,OD,L4,35,0.321,OD,L5,35,0.410333333,OD,R,49,0.347333333
OD,L1,36,0.322,OD,L2,36,0.465333333,OD,L3,36,0.402,OD,L4,36,0.255,OD,L5,36,0.386666667,OD,R,50,0.352333333
OD,L1,37,0.328,OD,L2,37,0.456666667,OD,L3,37,0.390666667,OD,L4,37,0.247333333,OD,L5,37,0.363666667,OD,R,51,0.372333333
OD,L1,40,0.301333333,OD,L2,40,0.449,OD,L3,40,0.417,OD,L4,40,0.296,OD,L5,40,0.316666667,OD,R,54,0.467333333
OD,L1,41,0.313666667,OD,L2,41,0.496,OD,L3,41,0.425,OD,L4,41,0.305,OD,L5,41,0.293,OD,R,55,0.506
OD,L1,43,0.383,OD,L2,43,0.468666667,OD,L3,43,0.421333333,OD,L4,43,0.299333333,OD,L5,43,0.297,OD,R,56,0.532333333
OD,L1,44,0.382,OD,L2,44,0.46,OD,L3,44,0.422,OD,L4,44,0.298,OD,L5,44,0.268333333,OD,R,57,0.541666667
OD,L1,47,0.314,OD,L2,47,0.442333333,OD,L3,47,0.416666667,OD,L4,47,0.335666667,OD,L5,47,0.372666667,OD,R,58,0.530333333
OD,L1,48,0.334,OD,L2,48,0.427666667,OD,L3,48,0.458,OD,L4,48,0.392666667,OD,L5,48,0.487,OD,R,61,0.503666667
OD,L1,49,0.331,OD,L2,49,0.402,OD,L3,49,0.463,OD,L4,49,0.421,OD,L5,49,0.457666667,OD,R,62,0.491666667
OD,L1,50,0.360666667,OD,L2,50,0.372666667,OD,L3,50,0.433,OD,L4,50,0.442666667,OD,L5,50,0.422333333,OD,R,63,0.473666667
OD,L1,51,0.404,OD,L2,51,0.426333333,OD,L3,51,0.452666667,OD,L4,51,0.481333333,OD,L5,51,0.421333333,OD,R,64,0.445666667
OD,L1,54,0.519333333,OD,L2,54,0.525,OD,L3,54,0.533333333,OD,L4,54,0.505,OD,L5,54,0.536,OD,R,65,0.54
OD,L1,55,0.557333333,OD,L2,55,0.58,OD,L3,55,0.574666667,OD,L4,55,0.529,OD,L5,55,0.570333333,OD,R,66,0.566666667
OD,L1,56,0.595,OD,L2,56,0.596666667,OD,L3,56,0.589666667,OD,L4,56,0.553666667,OD,L5,56,0.569666667,OD,R,67,0.584
OD,L1,57,0.628333333,OD,L2,57,0.598333333,OD,L3,57,0.582,OD,L4,57,0.568333333,OD,L5,57,0.568,OD,R,68,0.556333333
OD,L1,58,0.606,OD,L2,58,0.581,OD,L3,58,0.572,OD,L4,58,0.571333333,OD,L5,58,0.549666667,OD,R,69,0.545333333
OD,L1,61,0.571,OD,L2,61,0.534,OD,L3,61,0.543,OD,L4,61,0.524,OD,L5,61,0.518,OD,R,70,0.610666667
OD,L1,62,0.547666667,OD,L2,62,0.529333333,OD,L3,62,0.512,OD,L4,62,0.514666667,OD,L5,62,0.511666667,OD,R,71,0.656
OD,L1,63,0.535,OD,L2,63,0.5,OD,L3,63,0.496333333,OD,L4,63,0.494,OD,L5,63,0.517666667,OD,R,72,0.672333333
OD,L1,64,0.506333333,OD,L2,64,0.458333333,OD,L3,64,0.453,OD,L4,64,0.472,OD,L5,64,0.49,OD,R,76,0.610666667
OD,L1,65,0.607,OD,L2,65,0.585,OD,L3,65,0.571333333,OD,L4,65,0.584333333,OD,L5,65,0.649,OD,R,79,0.760666667
OD,L1,66,0.613333333,OD,L2,66,0.611,OD,L3,66,0.609666667,OD,L4,66,0.596,OD,L5,66,0.650333333,OD,R,82,0.946666667
OD,L1,67,0.655333333,OD,L2,67,0.624666667,OD,L3,67,0.62,OD,L4,67,0.607,OD,L5,67,0.649666667,OD,R,83,0.996666667
OD,L1,68,0.628,OD,L2,68,0.593666667,OD,L3,68,0.614666667,OD,L4,68,0.591666667,OD,L5,68,0.643666667,OD,R,85,1.216666667
OD,L1,69,0.614666667,OD,L2,69,0.590666667,OD,L3,69,0.645666667,OD,L4,69,0.601,OD,L5,69,0.604333333,OD,R,86,1
OD,L1,70,0.663,OD,L2,70,0.667666667,OD,L3,70,0.690666667,OD,L4,70,0.654666667,OD,L5,70,0.664666667,OD,R,89,1.053333333
OD,L1,71,0.7,OD,L2,71,0.7,OD,L3,71,0.717,OD,L4,71,0.692,OD,L5,71,0.721,OD,R,90,0.725666667
OD,L1,72,0.696666667,OD,L2,72,0.717666667,OD,L3,72,0.714,OD,L4,72,0.710666667,OD,L5,72,0.735,OD,R,91,0.562
OD,L1,76,0.650666667,OD,L2,76,0.657666667,OD,L3,76,0.675666667,OD,L4,76,0.662333333,OD,L5,76,0.687,OD,R,92,0.475
OD,L1,79,0.809666667,OD,L2,79,0.762,OD,L3,79,0.851333333,OD,L4,79,0.845,OD,L5,79,0.869,OD,R,93,0.476333333
OD,L1,82,0.996666667,OD,L2,82,1,OD,L3,82,1.02,OD,L4,82,1,OD,L5,82,1.003333333,OD,R,96,0.416333333
OD,L1,83,1.073333333,OD,L2,83,1.003333333,OD,L3,83,1.1,OD,L4,83,1.07,OD,L5,83,1.116666667,OD,R,97,0.456
OD,L1,85,1.04,OD,L2,85,1.213333333,OD,L3,85,1.12,OD,L4,85,1.063333333,OD,L5,85,1.223333333,OD,R,98,0.407666667
OD,L1,86,1.083333333,OD,L2,86,1.183333333,OD,L3,86,1.063333333,OD,L4,86,1.026666667,OD,L5,86,1.156666667,OD,R,99,0.421
OD,L1,89,1.043333333,OD,L2,89,1.073333333,OD,L3,89,1.086666667,OD,L4,89,1.036666667,OD,L5,89,1.043333333,OD,R,100,0.411333333
OD,L1,90,0.684,OD,L2,90,0.690333333,OD,L3,90,0.745,OD,L4,90,0.728666667,OD,L5,90,0.706333333,OD,R,103,0.33
OD,L1,91,0.542333333,OD,L2,91,0.543,OD,L3,91,0.526666667,OD,L4,91,0.526,OD,L5,91,0.59,OD,R,104,0.331333333
OD,L1,92,0.475333333,OD,L2,92,0.525,OD,L3,92,0.460333333,OD,L4,92,0.470666667,OD,L5,92,0.55,OD,R,105,0.330666667
OD,L1,93,0.464,OD,L2,93,0.528333333,OD,L3,93,0.467666667,OD,L4,93,0.458,OD,L5,93,0.529333333,OD,R,106,0.320666667
OD,L1,96,0.455666667,OD,L2,96,0.253666667,OD,L3,96,0.441333333,OD,L4,96,0.476666667,OD,L5,96,0.485333333,OD,R,107,0.306
OD,L1,97,0.490333333,OD,L2,97,0.540666667,OD,L3,97,0.43,OD,L4,97,0.439,OD,L5,97,0.555333333,,,,
OD,L1,98,0.489333333,OD,L2,98,0.519,OD,L3,98,0.413333333,OD,L4,98,0.419666667,OD,L5,98,0.474666667,,,,
OD,L1,99,0.475333333,OD,L2,99,0.505,OD,L3,99,0.412666667,OD,L4,99,0.419666667,OD,L5,99,0.433333333,,,,
OD,L1,100,0.449666667,OD,L2,100,0.453333333,OD,L3,100,0.419333333,OD,L4,100,0.431666667,OD,L5,100,0.456333333,,,,
OD,L1,103,0.412666667,OD,L2,103,0.326333333,OD,L3,103,0.352666667,OD,L4,103,0.386,OD,L5,103,0.415333333,,,,
OD,L1,104,0.391,OD,L2,104,0.279333333,OD,L3,104,0.33,OD,L4,104,0.343666667,OD,L5,104,0.387333333,,,,
OD,L1,105,0.406,OD,L2,105,0.325,OD,L3,105,0.330333333,OD,L4,105,0.363333333,OD,L5,105,0.430333333,,,,
OD,L1,106,0.388,OD,L2,106,0.329333333,OD,L3,106,0.327,OD,L4,106,0.334,OD,L5,106,0.429,,,,
OD,L1,107,0.369,OD,L2,107,0.342333333,OD,L3,107,0.352333333,OD,L4,107,0.243,OD,L5,107,0.427666667,,,,
