parameter,reactor,time,value
PHOs,L1,0,58.35230257
PHOs,L2,0,57.17620965
PHOs,L3,0,57.5380844
PHOs,L4,0,58.53323995
PHOs,L5,0,59.25698944
PHOt,L1,0,52.9241814
PHOt,L2,0,56.42984299
PHOt,L3,0,53.15035312
PHOt,L4,0,52.35875212
PHOt,L5,0,47.26988852
PHOs,L1,1,48.80785618
PHOs,L2,1,47.40559155
PHOs,L3,1,49.56236503
PHOs,L4,1,49.07926224
PHOs,L5,1,49.26019961
PHOt,L1,1,54.64308644
PHOt,L2,1,51.74808848
PHOt,L3,1,53.82886827
PHOt,L4,1,50.30058951
PHOt,L5,1,51.29574505
PHOs,L1,2,52.38136929
PHOs,L2,2,53.24082181
PHOs,L3,2,52.15519757
PHOs,L4,2,55.18589856
PHOs,L5,2,53.19558746
PHOt,L1,2,59.34745812
PHOt,L2,2,57.26667834
PHOt,L3,2,59.16652075
PHOt,L4,2,57.35714703
PHOt,L5,2,59.70933287
PHOs,L1,5,56.81433491
PHOs,L2,5,57.80949046
PHOs,L3,5,56.9048036
PHOs,L4,5,56.67863188
PHOs,L5,5,57.31191268
PHOt,L1,5,62.6405183
PHOt,L2,5,62.93001809
PHOt,L3,5,59.20270822
PHOt,L4,5,60.28833246
PHOt,L5,5,62.7852682
PHOs,L1,6,57.44761571
PHOs,L2,6,57.58331874
PHOs,L3,6,53.01465009
PHOs,L4,6,57.5380844
PHOs,L5,6,57.99042783
PHOt,L1,6,70.92744995
PHOt,L2,6,69.47995097
PHOt,L3,6,64.41370455
PHOt,L4,6,64.23276717
PHOt,L5,6,70.16751299
PHOs,L1,9,60.7949571
PHOs,L2,9,60.52355104
PHOs,L3,9,57.221444
PHOs,L4,9,59.52839549
PHOs,L5,9,58.66894298
PHOs,R,9,57.49285006
PHOt,L1,9,58.804646
PHOt,L2,9,60.86733205
PHOt,L3,9,63.87089243
PHOt,L4,9,60.14358256
PHOt,L5,9,66.62114049
PHOt,R,9,66.22307827
PHOs,L1,13,55.95488239
PHOs,L2,13,54.32644604
PHOs,L3,13,54.14550867
PHOs,L4,13,58.84988035
PHOs,L5,13,51.38621374
PHOs,R,13,54.95972684
PHOt,L1,13,68.46670169
PHOt,L2,13,70.27607541
PHOt,L3,13,60.54164478
PHOt,L4,13,63.18333041
PHOt,L5,13,66.33164069
PHOt,R,13,65.96976595
PHOs,L1,16,59.29171834
PHOs,L2,16,56.72867576
PHOs,L3,16,56.55780626
PHOs,L4,16,61.00041339
PHOs,L5,16,60.40237013
PHOs,R,16,58.99269671
PHOt,L1,16,63.83684718
PHOt,L2,16,63.73432548
PHOt,L3,16,62.09397823
PHOt,L4,16,55.80598043
PHOt,L5,16,65.47719443
PHOt,R,16,64.22984704
PHOs,L1,20,57.45487116
PHOs,L2,20,53.56758991
PHOs,L3,20,53.65302467
PHOs,L4,20,54.20835056
PHOs,L5,20,55.53258922
PHOs,R,20,55.01998071
PHOt,L1,20,61.64971751
PHOt,L2,20,63.76849938
PHOt,L3,20,63.46093427
PHOt,L4,20,62.43571724
PHOt,L5,20,63.22171696
PHOt,R,20,61.78641312
PHOs,L1,23,58.94997933
PHOs,L2,23,53.69574204
PHOs,L3,23,56.85682789
PHOs,L4,23,61.55573929
PHOs,L5,23,59.5480226
PHOs,R,23,61.12856552
PHOt,L1,23,69.50971476
PHOt,L2,23,59.46258785
PHOt,L3,23,66.43406366
PHOt,L4,23,63.87102108
PHOt,L5,23,61.54719581
PHOt,R,23,66.63910707
PHOs,L1,26,60.23150062
PHOs,L2,26,55.70345873
PHOs,L3,26,60.87226126
PHOs,L4,26,63.47802122
PHOs,L5,26,61.04313077
PHOs,R,26,58.22378393
PHOt,L1,26,73.57640898
PHOt,L2,26,61.137109
PHOt,L3,26,68.00606311
PHOt,L4,26,63.52928207
PHOt,L5,26,61.3421524
PHOt,R,26,63.11919526
PHOs,L1,27,68.86123377
PHOs,L2,27,67.29411065
PHOs,L3,27,67.6628455
PHOs,L4,27,67.01755951
PHOs,L5,27,66.97146765
PHOs,R,27,51.80724683
PHOt,L1,27,71.9401698
PHOt,L2,27,73.15699481
PHOt,L3,27,74.55818725
PHOt,L4,27,66.22477958
PHOt,L5,27,62.05807574
PHOt,R,27,67.18349019
PHOs,L1,28,64.87911844
PHOs,L2,28,61.13609238
PHOs,L3,28,64.75004857
PHOs,L4,28,63.84655952
PHOs,L5,28,58.03841563
PHOs,R,28,57.17794987
PHOt,L1,28,64.46609487
PHOt,L2,28,69.07819136
PHOt,L3,28,65.3953979
PHOt,L4,28,64.77586255
PHOt,L5,28,62.29772115
PHOt,R,28,62.52144225
PHOs,L1,29,60.92097593
PHOs,L2,29,55.54306492
PHOs,L3,29,57.39306631
PHOs,L4,29,56.23143753
PHOs,L5,29,55.19887862
PHOs,R,29,55.32794848
PHOt,L1,29,67.63260888
PHOt,L2,29,67.04749216
PHOt,L3,29,67.83912066
PHOt,L4,29,65.60190968
PHOt,L5,29,69.66330807
PHOt,R,29,60.14655675
PHOs,L1,30,62.08260471
PHOs,L2,30,58.42562523
PHOs,L3,30,61.86748827
PHOs,L4,30,64.87911844
PHOs,L5,30,59.11399783
PHOs,R,30,59.45818414
PHOt,L1,30,72.27912399
PHOt,L2,30,68.69958642
PHOt,L3,30,69.49121492
PHOt,L4,30,68.14888833
PHOt,L5,30,64.39725761
PHOt,R,30,65.92888667
PHOs,L1,34,64.95401556
PHOs,L2,34,64.33422534
PHOs,L3,34,69.14951862
PHOs,L4,34,65.14472025
PHOs,L5,34,68.33902372
PHOs,R,34,61.47365507
PHOt,L1,34,73.0932915
PHOt,L2,34,71.18624466
PHOt,L3,34,75.19104303
PHOt,L4,34,70.95739903
PHOt,L5,34,72.75002307
PHOt,R,34,69.48897296
PHOs,L1,37,70.24607056
PHOs,L2,37,63.66675894
PHOs,L3,37,66.90873858
PHOs,L4,37,65.57380579
PHOs,L5,37,64.42957768
PHOs,R,37,62.9039402
PHOt,L1,37,74.73335179
PHOt,L2,37,71.10996278
PHOt,L3,37,72.29233183
PHOt,L4,37,71.72021777
PHOt,L5,37,70.27086217
PHOt,R,37,68.63080188
PHOs,L1,41,64.95401556
PHOs,L2,41,64.238873
PHOs,L3,41,68.1959952
PHOs,L4,41,67.43317646
PHOs,L5,41,66.14591984
PHOs,R,41,63.61908277
PHOt,L1,41,71.41625658
PHOt,L2,41,73.23988913
PHOt,L3,41,73.41523842
PHOt,L4,41,67.87420103
PHOt,L5,41,66.99745461
PHOt,R,41,63.84116749
PHOs,L1,44,60.29385146
PHOs,L2,44,63.18711466
PHOs,L3,44,66.08037785
PHOs,L4,44,63.88851179
PHOs,L5,44,61.56513377
PHOs,R,44,59.81164093
PHOt,L1,44,68.78601731
PHOt,L2,44,71.17076758
PHOt,L3,44,71.03048815
PHOt,L4,44,65.77000962
PHOt,L5,44,64.43735505
PHOt,R,44,62.26302393
PHOs,L1,47,61.17059788
PHOs,L2,47,65.68584196
PHOs,L3,47,65.90502856
PHOs,L4,47,64.58990893
PHOs,L5,47,62.00350699
PHOs,R,47,56.96221506
PHOt,L1,47,63.28004978
PHOt,L2,47,70.04853216
PHOt,L3,47,69.20685559
PHOt,L4,47,64.85819334
PHOt,L5,47,64.22693591
PHOt,R,47,58.00203631
PHOs,L1,48,70.81480853
PHOs,L2,48,76.42598563
PHOs,L3,48,74.47051428
PHOs,L4,48,69.39493612
PHOs,L5,48,65.63357015
PHOs,R,48,64.1380873
PHOt,L1,48,71.66174557
PHOt,L2,48,82.34400491
PHOt,L3,48,67.08101629
PHOt,L4,48,63.926907
PHOt,L5,48,63.02055375
PHOt,R,48,60.59152706
PHOs,L1,49,75.78472649
PHOs,L2,49,76.78171505
PHOs,L3,49,69.84811274
PHOs,L4,49,79.22886881
PHOs,L5,49,76.69107973
PHOs,R,49,64.5006286
PHOt,L1,49,79.7699617
PHOt,L2,49,88.5434611
PHOt,L3,49,86.33195918
PHOt,L4,49,80.82133146
PHOt,L5,49,85.4981142
PHOt,R,49,72.12034032
PHOs,L1,50,83.17150542
PHOs,L2,50,84.44039996
PHOs,L3,50,83.85127036
PHOs,L4,50,79.90863375
PHOs,L5,50,78.77569219
PHOs,R,50,75.87536181
PHOt,L1,50,94.85167968
PHOt,L2,50,87.52834547
PHOt,L3,50,93.54653101
PHOt,L4,50,86.36821331
PHOt,L5,50,86.4769757
PHOt,R,50,79.35303921
PHOs,L1,51,92.22625905
PHOs,L2,51,99.36848324
PHOs,L3,51,92.68409393
PHOs,L4,51,87.00694137
PHOs,L5,51,90.21178556
PHOs,R,51,84.80933392
PHOt,L1,51,96.37973711
PHOt,L2,51,106.6718653
PHOt,L3,51,95.09779944
PHOt,L4,51,93.88911534
PHOt,L5,51,88.61485748
PHOt,R,51,87.71750111
PHOs,L1,55,92.95879486
PHOs,L2,55,91.90577463
PHOs,L3,55,99.09378231
PHOs,L4,55,96.346773
PHOs,L5,55,100.1468025
PHOs,R,55,182.9691331
PHOt,L1,55,99.34650716
PHOt,L2,55,113.374568
PHOt,L3,55,101.7272486
PHOt,L4,55,80.77672427
PHOt,L5,55,97.73492837
PHOt,R,55,95.57394772
PHOs,L1,58,92.86722788
PHOs,L2,58,99.96366859
PHOs,L3,58,98.63594742
PHOs,L4,58,98.17811254
PHOs,L5,58,113.3782307
PHOs,R,58,94.56121695
PHOt,L1,58,103.9981096
PHOt,L2,58,100.8848324
PHOt,L3,58,99.63952149
PHOt,L4,58,100.591818
PHOt,L5,58,99.41976074
PHOt,R,58,99.69446167
PHOs,L1,62,98.54438045
PHOs,L2,62,99.18992763
PHOs,L3,62,104.404667
PHOs,L4,62,100.7419879
PHOs,L5,62,101.7950081
PHOs,R,62,95.88893812
PHOt,L1,62,96.37973711
PHOt,L2,62,98.32095702
PHOt,L3,62,101.8005021
PHOt,L4,62,98.43083739
PHOt,L5,62,98.83373209
PHOt,R,62,91.12379265
PHOs,L1,64,106.5202211
PHOs,L2,64,115.3392817
PHOs,L3,64,111.7314842
PHOs,L4,64,104.3655643
PHOs,L5,64,111.6312676
PHOs,R,64,96.39834481
PHOt,L1,64,107.2838716
PHOt,L2,64,108.626774
PHOt,L3,64,108.5466007
PHOt,L4,64,106.3017489
PHOt,L5,64,112.0742249
PHOt,R,64,103.3152943
PHOs,L1,65,107.2217373
PHOs,L2,65,130.6223127
PHOs,L3,65,124.0581256
PHOs,L4,65,122.1540103
PHOs,L5,65,129.5199302
PHOs,R,65,107.3219539
PHOt,L1,65,120.0514661
PHOt,L2,65,129.4718262
PHOt,L3,65,122.9377041
PHOt,L4,65,121.4544984
PHOt,L5,65,140.2551321
PHOt,R,65,114.2589468
PHOs,L1,66,128.8025652
PHOs,L2,66,154.1779795
PHOs,L3,66,139.5692463
PHOs,L4,66,101.7294999
PHOs,L5,66,148.3702263
PHOs,R,66,117.9912091
PHOt,L1,66,122.0914829
PHOt,L2,66,145.4297161
PHOt,L3,66,130.2759475
PHOt,L4,66,132.4918288
PHOt,L5,66,141.1766537
PHOt,R,66,115.4974492
PHOs,L1,67,146.0918
PHOs,L2,67,164.4979104
PHOs,L3,67,160.343133
PHOs,L4,67,160.8792333
PHOs,L5,67,162.6662343
PHOs,R,67,139.033146
PHOt,L1,67,139.5683528
PHOt,L2,67,164.9437671
PHOt,L3,67,150.7907191
PHOt,L4,67,154.043061
PHOt,L5,67,162.942326
PHOt,R,67,122.305923
PHOs,L1,68,164.5425854
PHOs,L2,68,183.2167459
PHOs,L3,68,176.6941922
PHOs,L4,68,181.9658452
PHOs,L5,68,186.6567229
PHOs,R,68,153.7312293
PHOt,L1,68,160.3690445
PHOt,L2,68,178.2390546
PHOt,L3,68,174.9867128
PHOt,L4,68,174.0932123
PHOt,L5,68,177.166854
PHOt,R,68,145.8585963
PHOs,L1,69,168.4739876
PHOs,L2,69,186.4333477
PHOs,L3,69,176.6048422
PHOs,L4,69,177.0515924
PHOs,L5,69,177.3196426
PHOs,R,69,162.3088341
PHOt,L1,69,150.3975789
PHOt,L2,69,178.846635
PHOt,L3,69,165.8730076
PHOt,L4,69,166.552068
PHOt,L5,69,174.4148725
PHOt,R,69,147.2881971
PHOs,L1,72,235.1589865
PHOs,L2,72,240.6104651
PHOs,L3,72,235.8265145
PHOs,L4,72,233.6014212
PHOs,L5,72,243.3918318
PHOs,R,72,253.4047517
PHOt,L1,72,224.2627046
PHOt,L2,72,236.5452196
PHOt,L3,72,228.0898651
PHOt,L4,72,236.4562159
PHOt,L5,72,239.749354
PHOt,R,72,223.3281654
PHOs,L1,76,235.4927505
PHOs,L2,76,238.3853718
PHOs,L3,76,237.1615705
PHOs,L4,76,224.03352
PHOs,L5,76,231.3763279
PHOs,R,76,228.8174706
PHOt,L1,76,237.1682458
PHOt,L2,76,237.7912719
PHOt,L3,76,236.3672122
PHOt,L4,76,239.0373241
PHOt,L5,76,237.7022682
PHOt,R,76,230.0034453
PHOs,L1,79,233.5152435
PHOs,L2,79,236.5609742
PHOs,L3,79,223.8242825
PHOs,L4,79,231.115577
PHOs,L5,79,233.1460641
PHOs,R,79,223.9165773
PHOt,L1,79,219.2261522
PHOt,L2,79,227.2004287
PHOt,L3,79,225.9452185
PHOt,L4,79,223.9516494
PHOt,L5,79,222.2534238
PHOt,R,79,217.3802549
PHOs,L1,83,227.608372
PHOs,L2,83,234.3458973
PHOs,L3,83,231.6693462
PHOs,L4,83,232.9614743
PHOs,L5,83,224.5626414
PHOs,R,83,223.8242825
PHOt,L1,83,224.5423365
PHOt,L2,83,233.0334643
PHOt,L3,83,225.9452185
PHOt,L4,83,237.3897821
PHOt,L5,83,229.9323568
PHOt,R,83,229.083244
PHOs,L1,86,242.2847942
PHOs,L2,86,250.9589734
PHOs,L3,86,239.1452304
PHOs,L4,86,244.2214481
PHOs,L5,86,242.8370251
PHOs,R,86,237.0224485
PHOt,L1,86,227.9387877
PHOt,L2,86,255.479576
PHOt,L3,86,248.6866738
PHOt,L4,86,248.8343456
PHOt,L5,86,240.0478742
PHOt,R,86,223.2132905
PHOs,L1,89,238.4068715
PHOs,L2,89,255.0199476
PHOs,L3,89,262.4958318
PHOs,L4,89,249.0207812
PHOs,L5,89,251.8819221
PHOs,R,89,241.9140765
PHOt,L1,89,241.0815768
PHOt,L2,89,250.0895558
PHOt,L3,89,254.0028582
PHOt,L4,89,244.7733714
PHOt,L5,89,251.1970942
PHOt,R,89,140.0371561
PHOs,L1,90,170.2009646
PHOs,L2,90,173.2466952
PHOs,L3,90,179.5227462
PHOs,L4,90,176.1078361
PHOs,L5,90,170.9393236
PHOs,R,90,375.6585685
PHOt,L1,90,187.6982256
PHOt,L2,90,186.8860307
PHOt,L3,90,188.2150768
PHOt,L4,90,181.3483387
PHOt,L5,90,176.992021
PHOt,R,90,171.0482315
PHOs,L1,91,119.3925206
PHOs,L2,91,118.741221
PHOs,L3,91,120.8812054
PHOs,L4,91,116.7873222
PHOs,L5,91,115.2055946
PHOs,R,91,127.4872441
PHOt,L1,91,117.6954199
PHOt,L2,91,118.5886308
PHOt,L3,91,122.3103428
PHOt,L4,91,124.6178042
PHOt,L5,91,121.0449607
PHOt,R,91,143.3380155
PHOs,L1,92,75.46701483
PHOs,L2,92,80.21219761
PHOs,L3,92,81.56131821
PHOs,L4,92,78.07221322
PHOs,L5,92,79.46785521
PHOs,R,92,81.51479681
PHOt,L1,92,76.33975629
PHOt,L2,92,83.37379194
PHOt,L3,92,84.37865418
PHOt,L4,92,79.94981692
PHOt,L5,92,83.63431178
PHOt,R,92,89.30992256
PHOs,L1,93,66.95359866
PHOs,L2,93,66.25577766
PHOs,L3,93,70.11705384
PHOs,L4,93,67.04664146
PHOs,L5,93,66.58142746
PHOs,R,93,71.83834564
PHOt,L1,93,72.17143886
PHOt,L2,93,75.85593373
PHOt,L3,93,72.69247854
PHOt,L4,93,68.22642416
PHOt,L5,93,73.43682094
PHOt,R,93,73.7345579
PHOs,L1,97,54.9510775
PHOs,L2,97,51.55501531
PHOs,L3,97,52.15979351
PHOs,L4,97,50.71763011
PHOs,L5,97,53.6019569
PHOs,R,97,53.4623927
PHOt,L1,97,65.54679152
PHOt,L2,97,50.58550933
PHOt,L3,97,61.11795426
PHOt,L4,97,62.56942193
PHOt,L5,97,62.42055345
PHOt,R,97,66.8121736
PHOs,L1,100,55.69541989
PHOs,L2,100,54.4858635
PHOs,L3,100,55.74194129
PHOs,L4,100,54.1136923
PHOs,L5,100,55.36977009
PHOs,R,100,53.9741281
PHOt,L1,100,63.53706705
PHOt,L2,100,62.68107329
PHOt,L3,100,59.25709827
PHOt,L4,100,60.52248034
PHOt,L5,100,65.39792304
PHOt,R,100,56.54024851
PHOs,L1,104,56.81193349
PHOs,L2,104,58.71931088
PHOs,L3,104,58.11453269
PHOs,L4,104,58.62626808
PHOs,L5,104,57.64931869
PHOs,R,104,52.6250075
PHOt,L1,104,64.54192929
PHOt,L2,104,63.27654721
PHOt,L3,104,63.20211297
PHOt,L4,104,63.49984993
PHOt,L5,104,63.94645537
PHOt,R,104,54.25139564
PHOs,L1,107,56.25367669
PHOs,L2,107,57.97496849
PHOs,L3,107,57.78888289
PHOs,L4,107,57.78888289
PHOs,L5,107,55.27672729
PHOs,R,107,54.7184705
PHOt,L1,107,62.34611921
PHOt,L2,107,60.22474338
PHOt,L3,107,59.66648658
PHOt,L4,107,57.43345939
PHOt,L5,107,64.31862657
PHOt,R,107,55.4795606
